frequency,word,reading,reading_segments,meaning_en,meaning_en_custom,part,frequency_band,age_band,grade
1,人,ひと,人:ひと,Person,person,noun,1000.0,,1
3,年,とし,年:とし,Year | Age,year | age,noun,1000.0,,1
4,日,ひ,日:ひ,Sun | Day,sun | day,noun,1000.0,,1
5,私,わたし,私:わたし,I | Me,i | me,pronoun | の adjective,,,6
7,月,つき,月:つき,Moon | Month,moon | month,noun,1000.0,,1
8,中,なか,中:なか,Inside | In,inside | in,noun,1000.0,,1
9,日本,にほん,日:に | 本:ほん,Japan,japan,proper noun,1000.0,1.0,1
10,一,いち,一:いち,One,one,numeral,1000.0,,1
11,何,なに,何:なに,What,what,pronoun | interjection | の adjective,1000.0,,2
13,自分,じぶん,自:じ | 分:ぶん,Oneself | Myself | Self,oneself | myself | self,pronoun | の adjective,1000.0,2.0,2
14,方,ほう,方:ほう,Direction | Way,direction | way,noun,1000.0,,2
15,時,とき,時:とき,Time | Hour,time | hour,noun,1000.0,,2
16,問題,もんだい,問:もん | 題:だい,Problem | Question,problem | question,noun,1000.0,3.0,3
18,今,いま,今:いま,Now,now,noun,1000.0,,2
19,考え,かんがえ,考:かんが | え,Thought | A Thought,thought | a Thought,noun,1000.0,,2
20,思う,おもう,思:おも | う,To Think,think,transitive verb | godan verb,1000.0,,2
21,前,まえ,前:まえ,Front | Before,front | before,noun | suffix,1000.0,,2
23,性,せい,性:せい,Gender | Nature | Sex,gender | nature | sex,noun,,,5
25,時間,じかん,時:じ | 間:かん,Time,time,noun,1000.0,2.0,2
26,会,かい,会:かい,Gathering | Meeting | Group | Party,gathering | meeting | group | party,noun | suffix,1000.0,,2
28,二,に,二:に,Two,two,numeral,1000.0,,1
29,場合,ばあい,場:ば | 合:あい,Case | Circumstance | Situation,case | circumstance | situation,noun,1000.0,2.0,2
30,必要,ひつよう,必:ひつ | 要:よう,Necessary | Needed | Essential,necessary | needed | essential,noun | な adjective,,,4
31,情報,じょうほう,情:じょう | 報:ほう,Information | Data,information | data,noun,,,5
33,上,うえ,上:うえ,Above | Up | Over,above | up | over,noun | suffix,1000.0,,1
34,事,こと,事:こと,Thing | Matter | Occurrence,thing | matter | occurrence,noun,1000.0,,3
36,話,はなし,話:はなし,Story | Talk | Speech | Conversation,story | talk | speech | conversation,noun,1000.0,,2
37,本,ほん,本:ほん,Book,book,noun,1000.0,,1
38,分,ぶん,分:ぶん,Part | Portion | Content,part | portion | content,noun | prefix | suffix,1000.0,,2
39,十,じゅう,十:じゅう,Ten,ten,numeral,1000.0,,1
40,目,め,目:め,Eye,eye,noun,1000.0,,1
